Month, Price
2025-01-31,93905
2025-02-28,94650
2025-03-31,95340
2025-04-30,96070
2025-05-30,96885
2025-06-30,97650
2025-09-30,99845
2025-12-31,102060
2026-03-31,104280
2026-06-30,106495
2026-12-31,110905
