Month, Price
2025-01-31,103415
2025-02-28,104155
2025-03-31,104965
2025-04-30,105750
2025-05-30,106575
2025-06-30,107465
2025-09-30,109960
2025-12-31,112405
2026-03-31,114855
2026-06-30,117300
2026-12-31,122170
