Month, Price
2025-01-31,94955
2025-02-28,95930
2025-03-31,96780
2025-04-30,97510
2025-05-30,98250
2025-06-30,99030
2025-09-30,101060
2025-12-31,103060
2026-03-31,105290
2026-06-30,107520
2026-12-31,111960
