Month, Price
2025-01-31,105280
2025-02-28,106255
2025-03-31,107070
2025-04-30,107835
2025-05-30,108610
2025-06-30,109355
2025-09-30,111980
2025-12-31,114145
2026-03-31,116625
2026-06-30,119110
2026-12-31,124045
