Month, Price
2025-01-31,94230
2025-02-28,95015
2025-03-31,95795
2025-04-30,96570
2025-05-30,97390
2025-06-30,98160
2025-09-30,100300
2025-12-31,102525
2026-03-31,104750
2026-06-30,106975
2026-12-31,111400
