Month, Price
2025-01-31,96905
2025-02-28,97730
2025-03-31,98395
2025-04-30,99115
2025-05-30,99920
2025-06-30,100685
2025-09-30,102970
2025-12-31,105255
2026-03-31,107545
2026-06-30,109830
2026-12-31,114380
