Month, Price
2025-01-31,100060
2025-02-28,100940
2025-03-31,101645
2025-04-30,102380
2025-05-30,103170
2025-06-30,103940
2025-09-30,106225
2025-12-31,108585
2026-03-31,110945
2026-06-30,113305
2026-12-31,118000
