Month, Price
2025-01-31,99230
2025-02-28,100215
2025-03-31,101055
2025-04-30,101855
2025-05-30,102600
2025-06-30,103365
2025-09-30,105200
2025-12-31,107460
2026-03-31,109790
2026-06-30,112120
2026-12-31,116750
