Month, Price
2025-01-31,98190
2025-02-28,99175
2025-03-31,100005
2025-04-30,100795
2025-05-30,101540
2025-06-30,102300
2025-09-30,104140
2025-12-31,106270
2026-03-31,108575
2026-06-30,110875
2026-12-31,115455
