Month, Price
2025-01-31,103150
2025-02-28,104165
2025-03-31,105025
2025-04-30,105850
2025-05-30,106610
2025-06-30,107375
2025-09-30,109260
2025-12-31,111680
2026-03-31,114105
2026-06-30,116525
2026-12-31,121345
