Month, Price
2025-01-31,106400
2025-02-28,107310
2025-03-31,108135
2025-04-30,108935
2025-05-30,109685
2025-06-30,110435
2025-09-30,113190
2025-12-31,115390
2026-03-31,117905
2026-06-30,120415
2026-12-31,125410
