Month, Price
2025-01-31,92140
2025-02-28,92950
2025-03-31,93690
2025-04-30,94410
2025-05-30,95215
2025-06-30,95980
2025-09-30,98030
2025-12-31,100205
2026-03-31,102380
2026-06-30,104555
2026-12-31,108880
