Month, Price
2025-01-31,100700
2025-02-28,101585
2025-03-31,102310
2025-04-30,103040
2025-05-30,103835
2025-06-30,104760
2025-09-30,106940
2025-12-31,109320
2026-03-31,111695
2026-06-30,114070
2026-12-31,118800
