Month, Price
2025-01-31,95210
2025-02-28,96080
2025-03-31,96825
2025-04-30,97555
2025-05-30,98345
2025-06-30,99180
2025-09-30,101085
2025-12-31,103325
2026-03-31,105570
2026-06-30,107810
2026-12-31,112275
