Month, Price
2025-01-31,94120
2025-02-28,95100
2025-03-31,95920
2025-04-30,96675
2025-05-30,97415
2025-06-30,98175
2025-09-30,100020
2025-12-31,102230
2026-03-31,104440
2026-06-30,106655
2026-12-31,111060
