Month, Price
2025-01-31,96785
2025-02-28,97680
2025-03-31,98505
2025-04-30,99300
2025-05-30,100090
2025-06-30,100855
2025-09-30,102995
2025-12-31,105280
2026-03-31,107560
2026-06-30,109845
2026-12-31,114390
